venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,209.0,793.78,407.25,1479.7,2511.53,720.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.81,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,2024,0.0,6121.81,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,0.0,0.0,,,,,False
1,PAMPLONA,383.7,919.3,673.5,1139.97,1822.34,1915.85,2290.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9145.48,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,2024,0.0,9145.48,,,,,False
2,BILBAO,406.75,409.51,852.3,288.17,1543.5,2236.7,1133.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870.18,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,2024,0.0,6870.18,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,346.9,442.76,457.5,1718.05,3115.75,1307.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.27,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6,2024,0.0,7388.27,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,0.0,0.0,,,,,False
1,PAMPLONA,986.2,1129.55,1727.15,752.8,2703.38,2725.9,1649.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11674.48,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,2024,0.0,11674.48,,,,,False
2,BILBAO,1066.5,595.35,1221.7,630.7,1269.45,2474.6,1448.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8706.75,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7,2024,0.0,8706.75,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2024,0.0,0.0,,,,,False
